ID,Why_1,Why_2,Why_3,Why_4,Why_5,What_1,What_2,What_3,What_4,What_5,Question_1,Question_2,Question_3,Question_4,Question_5,Rater_1,Rater_2,Rater_Match,
11,"I have tried teaching R both ways; I believe top down (e.g. dplyr, ggplot2) works better but it would be nice to know!","Programming requires some knowledge of how computers store files, what a folder is, copying files etc. I find that this gap leads to many errors (file not found etc) -- I have developed strategies to minimize these (get students to change default settings on their browsers about downloading, being pedantic about folder creation and subdirectory structures etc), but a more systematic approach would be useful","I teach my students R because it has high level data manipulaton, analysis, and visualization functions that are useful. But so does Python, Julia, Matlab ... is there a better, more general starting point that opens up a broader range of computing languages?","As computing becomes more important in disciplines like ecology, people like myself develop and lead courses. I have TA's that work with directly with students. What professional development should I be giving them? Software carpentry instructor training? Something else?  ",0,Modify how I teach undergraduates to use R for data visualization and analysis,"Modify my teaching, but also develop short modules to rectify gaps that can be added to first year orientation courses.","Rest more easily at night that I'm not hindering my students future learning! Possibly change what I teach, and advocate for adoption of teaching such a fundamental language more broadly.","Develop training for TAs that help me with ecology labs -- 3 TA's per semester, training 60 -75 students a semester. ",0,"Should we teach students ""top down"" (use high level constructs) or ""bottom up"" (start with basic operations, conditionals, loops etc)?",What foundational computer skills / knowledge are most critical to student success?,"Which language leads to the most ""transferable"" learning?","How do we ""train the trainers""",0,2,2,TRUE,
12,"Different students have different problems.  If the difficulty is sentences, may coding shouldn't be a problem.  If the difficulty is identifying symbols, they seem to struggle.  Are some languages better than others?",Every school I've heard of seems to have different difficulties (e.g. not being able to save .exe/.jar to the network meaning you can't program C++/C#/Java),"The term 'expression' is all over professional documentation, but curiously absent from GCSE specifications I've seen.  It seems fundamental to understanding how computers evaluate code.","online API documentation is incredibly detailed and requires a very high level of literacy to understand.  Students just freeze when they see it.  Coders use API docs all the time.  Creating student API references seems fraught with the danger of over-simplifying, but could be incredibly useful to them.","It's vital that students understand that CPUs are electronic machines, moving and manipulating numbers.  However, this model as it is taught at GCSE and A-Level is hopelessly out of date.  There might be a better alternative model which embeds the concepts without forcing students to simply learn magic phrases.",Change my scheme of work and support for dyslexic students,Enlighten IT support and fellow teachers as to what they can do to overcome the difficulties,Change my scheme of work and my approach to teaching programming,Write student-friendly API documentation for the programming languages I teach,Change how I teach about the CPU.,How do different programming language syntaxes affect students with dyslexia?,What are the range of technical difficulties experienced by teachers trying to use a new programming tool or application?,Is 'expression' a threshold concept?,What are the best ways to make API documentation more accessible to students?,Is there a better alternative conception to replace the fetch-decode-execute cycle?,2,2,TRUE,
13,Because I don't know if one exists and it seems as if I teach it in the same way I learnt it at university.,Many students don't know where to begin. I believe they need to learn this skill quickly and we don't ave much time at high school,"Because it is in each students best interest to study courses that will bring them ""success"". ",There may be groups of students who never considered the subject who may have a lot to offer,So to engage a diverse range of learners,Adapt how I teach programming,Use it in the classroom to help students,"Tell them the ""truth"" so they can decide earlier rather than later.",Target that particular group,Use it in the classroom,"When teaching students to program, is there a pedagogy I should follow?",What are some ways to show students how to deconstruct a problem?,"When I go to work place presentations, they only seem to want the best of the best. If I have an average student am I best to tell them to stop wasting their time and to find a different subject that may bring them more success?",Typically the students who are good at programming tend to be good at math and science. Am I missing a group of students who also have an aptitude?,"What are some engaging problems in programming. In mathematics there are ""low threshold, high ceiling"" problems that offer to a more diverse range of students ",2,2,TRUE,
14,"In classic Computational Thinking, the 4 stages are decompososition, pattern identification, abstraction/generalisation and algorithm construction. Pretty well all teaching approaches focus on the first and last, but say little about patterns and abstraction. These seem to be key to learning to program. It seems that approaches using constrained visual environments scaffold these poorly.","Vygotsky suggests that the ability to use words as general abstractions marks a key tarnsition from adolescence to adulthood.. If we view variables as the programmin equivalent of words, then mayb we are trying to introduce their use to early, which is counter productive in making programming engaging.",0,0,0,Revisit the basic pedagogy of progarmming and develop new approaches for scaffolding variable use.,Revist the staging of teaching core computing competences and develop new curricula based on cognitive attainment level..,0,0,0,How might people best learn how to introduce variables?,At what developmental stage can people first effectively use variables as abstractions?,0,0,0,2,2,TRUE,
15,I teach computing in non-formal settings. I want to understand what factors and characteristics are underlying these contexts. ,Our research group work with deaf people literacy. It seems interesting understanding if that people learn different from non-deaf.,"Cognitive overload is a well known problem in learning programming. In Scratch, there is many blocks and possibilities. In my experience, it could be a problem if  you set exploratory activity to a student when he is in the beggining of learning. I want to know if an adaptative interface for teacher - that is, an interface  where teacher could set how blocks and functionalities student could explore - help to prepare activities in a way to reduce that cognitive overload.",There is any difference in how students from Brazil ( or other South American/African/Asian countries ) and USA ( where Scratch was created... ) - as example - learn programming in block-based environments?,0,Improve my practice.,Understand how deaf people learn computer science could guide approaches to teach it to them.,Prepare better activities for my students.,A positive answer to this question shows the necessity to design alternative environments for different cultural settings.,0,How could non-formal computing education be caracterized?,How deaf people learn computer science?,An adaptative interface for teachers in Scratch could help to prepare activities to reduce cognitive overload?,There is difference in block-based programming learning in two different cultural settings?,0,2,2,TRUE,
16,"I believe from experience that other modes of learning do not compare to studio-oriented, faculty-mentored, project-based environments--real inquiry-driven study. However, to enact curriculum change (that is, to convince non-believers) requires empirical evidence that shows exactly how much better it is. In particular: colleagues might be converted, and deans might be convinced to release the funds necessary to equip spaces and hire faculty.","Like many schools, we have entire 3-credit courses devoted to operating systems, networking, and databases. The courses go into great detail about topics that were cutting-edge in the 1970s but it's not clear they give students either insight or skill. All these things are incorporated into other platforms and projects; can we be more efficient and effective by designing curriculum this way instead of the uninspired ""make a course for each topic"" approach?","We spend a lot of time with algorithms and discrete math, like a lot of universities. It's not obvious to me how much of these requirements are historical (because CS depts grew from maths depts) vs essential. That is, how much of it _is_ computer science vs doing math with computer science concepts. To that end, I wonder: what if we set up an experiment where two cohorts went through the same curriculum, except one took these courses and the other didn't. In five years after graduating, could we see a difference in their ability to choose algorithms and data structures? What if it was just one course? etc.","Seems to me that generally speaking, instructors who cannot program well do not hold students to high standards of software development. I fear that this makes students stupider: it encourages bad and lazy practices, undoing the work earlier in the prerequisite chain.","We require pair programming in CS1, but it's pretty clear that a lot of faculty who teach the course---and have taught it for years---don't really understand pair programming. ",Push for curriculum change and professional development.,"Revise curricula, promote professional development of faculty.",Revise and refine curricula.,Revise curriculum / master syllabi. Enforce software development standards in all programming work. ,Professional development for instructors.,"To what extent is studio-oriented, faculty-mentored, project-based learning more beneficial to students than other lecture-based or active-learning approaches?","What are the impacts to student learning should the database, networking, and OS classes be dropped and their content merged elsewhere?",Does studying algorithms and discrete mathematics help students be better computer scientists?,How do differences in instructors' evaluations of software development projects harm students' ability to learn best practices?,How do you train faculty in agile practices for deployment in the classroom?,2,1,FALSE,
17,better prepare the students,know the students better,some teachers use game maker to draw students to the course but is it useful,0,0,focus on the skills that are missed,redesign the course for the student,set my course one way or the other,0,0,What are the Colleges and Universities looking for from grade 12s,Why are there so few students taking CS in high school,is game maker something that will set the kids up for university or college,0,0,2,2,TRUE,
18,"I have many ""try"" coding garde 11 class, but half do not continue with taking grade 12","I always find it difficult to find ""on topic"" exercises which are ""PROBLEM SLOVING"" outside of coding language",0,0,0,update grade 11 course,implement in CS classes,0,0,0,What should a grade 11 CS teacher do to help their students continue on the coding career path,"What resources would a coding teacher use, which is not language driven ",0,0,0,2,2,TRUE,
19,"Because i had such a moment when i was in first computer science and everything after that moment was easy but up until that moment, i didnt really understand what i was doing, i was just following along blindly. I wondered if others have such a moment.",0,0,0,0,Change the way i teach first year,0,0,0,0,"Do students, who are new to programming, have an ""Ah Ha"" moment, where everything makes sense?",0,0,0,0,2,2,TRUE,
20,"Technology changes rapidly and sometimes lecture material needs to be updated with it. For example, the newest APIs for web development.",Some topics in CS can be dry and it's difficult to keep students engaged and interested.,I teach a large multimedia course with both CS and non-CS students and it's difficult to keep both groups interested.,0,0,Use suggestions to keep course material up to date.,Attempt to apply the suggestions to my own teaching methods.,Adapt the course material to serve both components of the students.,0,0,How can the course material be effectively kept up to date?,How can I keep the students engaged in class?,"Given a course with both CS and non-CS students, how can I best balance the level of technicality of the course material?",0,0,2,2,TRUE,
21,so I could try and provide the scaffolding to help them,as we need to teach more and more it would be good to see where the holes are,is there a growing disconnect between users and makers of technology?,0,0,provide the right kinds of related acivities to help them,change curriculum,not sure - get more information out there??,0,0,Why do some incoming students not seem to be able to generalize what I feel are simple programming examples?,I loved your question - What is the most important thing that students finishing a four-year degree still don't understand about computing?,Is being really efficient with 'using technology' helpful in learning computer science?,0,0,2,2,TRUE,
22,"Is there synergy, usually I go for clarity/simplicity and don't refer to other languages (most participants are biologists))",For quite a surprising number of beginners for-loops are a difficult concept,"Live coding is quite time-consuming, it seems that with other forms of teaching learning is faster",Getting information from the internet efficiently is an important skill. Can it be taught or does everybody have to find out him/herself??,0,modify the introductory Python course,modify the course,Adapt teaching,adapt teaching,0,Does the explicit referal to a first programming language (R in my setting) enhance the learning of a second general-purpose language (e.g. Python),How can the concept of for-loops be taught to increase understanding for biologists (presentation vs demo vs guided exercise)?,Does live coding relative to presentations (or guided exercises) facilitate learning,Can learning be enhanced by exercises on how to use stackoverflow and other forums,0,2,2,TRUE,
23,I want to determine which features of supplemental learning materials appeal to learners.,I am not sure which concepts are more challenging to introductory students.,I find students' greatest weakness is often their ability to understand and describe code written by someone else.,The university curriculum is primarily focused on individual learning.,I believe that understanding how and why a program works is more important than learning a language's syntax or semantics.,Incorporate features from these resources into my own learning resources.,I will provide more learning content pertaining to the most challenging concepts.,Provide students with more opportunities to develop their comprehension skills.,Incorporate group activities into lecture that provide the most benefit to students.,I will consider the use of pseudo code as a precursor to actual programming.,What online resources do learners most frequently access for learning programming?,What fundamental programming concepts are the most challenging to students?,How do students learn and develop their program comprehension skills?,What social aspects (e.g. collaboration) provide the most significant benefits to novices?,What are the trade-offs to teaching students pseudo code before learning a real language?,2,2,TRUE,
24,Computer programming is usually written about from a perspective of someone who knows how to code already and often does not clearly speak to those who do not making it unnecessarilly difficult to learn the new concepts/techniques. ,Situations and examples of real world software projects that require the techniques in question 1.,I would like to teach a unit on setting up a game server.,I think this has future potential and it is an interesting end to robotics units.,I want to teach mobile app development to my 12C course and App Inventor does not cut it.,I will use this answer in teaching computer coding to my students and help me get a deeper understanding of the concepts and techniques.,I will use these to build assignments for teaching computer science in my classes.,Set up a unit on setting up a game server and perhaps another business type program. ,I will probably finish creating assignments to use EV3 robots' wifi and program a coloured block moving program and a flock of birds program (perhaps a hockey program?). ,I will try and simplify my Android programming lessons and adopt any methods of teaching this that are clearer than my present methods.,How can we clearly and simply translate advanced computing techniques and identify times for their application to students newer to coding?,"What real world, but accessable coding assignments can I make to introduce the concepts from question 1?","What are the best ways to progam server based, mobile programs and how can I teach this (specific coding examples)?",How do I program distributed robotic swarms?,How can I clearly and simply teach a short unit in Android programming using Android Studio?,2,2,TRUE,
25,"Anyone can learn programming but lots of people (especially ones who are underrepresented in tech) think of themselves as ""dumb"" or that they ""just don't get it""",To figure out how to find and target erroneous mental models in students who know some things but not everything,0,0,0,I want to figure out a way to frame programming honestly as both complex and welcoming,Better answer questions students have,0,0,0,What are the mental blocks students have to learning programming that they don't have when learning other things?,"Which erroneous mental models are hardest to get rid of? (ones learned earliest, ones that a learner knows most about, ones that represent concepts a student isn't actively learning)",0,0,0,2,2,TRUE,
26,"Some students really seem to grasp the concepts and principles of programming, they can navigate the logic better than others. Some students never seem to grasp it. What makes someone better than others at learning programming and how can we identify who is in each category? ",0,0,0,0,"If there are answers to this question, I would like to be able to evaluate students before they start learning and then know which students will have a better go at learning to program. It would help me segment my class and better know how to help those who struggle. ",0,0,0,0,Are there only certain types of people that can effectively learn programming? ,0,0,0,0,2,2,TRUE,
27,social justice,I teach operating systems,Improve our CS program,I teach CS1,0,Do the recommended things in my class,Address common misconceptions when I teach,Incorporate those skills into our courses,Incorporate those best practices into my teaching,0,How can we do in the classroom to make computing more accessible to under represented groups?,What misconceptions do students have about operating systems?,What skills do students need for programming after college that they commonly graduate without?,What are best practices for making CS1 accessible to students without prior CS knowledge?,0,2,2,TRUE,
28,Challenge my core belief that computing should be taught independent of language.,Whether the use of these tools at the high school level is productive,"There is a tendency to use these packages to make programming more interesting (processing, pygame, robocode etc...) but do they detract/mislead new programmers from core logic skills that are needed.",Databases are a HUGE element of computing in the real world but it's a topic rarely explored until post-secondary.,"We have all seen students who ""just can't seem to get it"" and there is some who believe CS is really just for certain people. ",Either serves to reinforce my methods or perhaps be more devoted to a particular language.  ,Impacts timing of when and how quickly we should be pushing into more formal and traditional programming languages.,May want to limit or expand the use of these packages.,Databases present certain logistical problems in a school environment and must be maintained.  But perhaps worth the effort?,"If the myth is dispelled then the move of ""everyone taking some CS"" has some merit.  ",How much of impact is choice of language to the learner?,Do graphical languages (scratch/code.org) really provide a better basis for computational understanding or just draw interest from a younger age?,Does the use of packages/frameworks/custom libraries help or hinder the development of a programmer?,Should programming using databases be brought in at high school level?,Is programming truly a skill that anyone can acquire or is it reserved for a certain kind of thinker?,2,2,TRUE,
29,Computing is abstracted (mentally) from normal existence/thinking.  This is the root cause of learning difficulty,It's just something i have been trying to understand myself for 30 odd years,Another thing i have not figured out myself. Functional programming with it's concept of immutability is a (tiny) step in this direction,The social aspect should be explored more. Most computing basics comes from a time of introverts. This must be exposed before we can move on.,"I like programming. But not typing (or not seeing the result of my actions). I am physical, and would like to interact with the computer in a physical way.","This should lead to the next question, both for individuals and researchers.",Build systems that are not so abstract and easier to understand,"Build better systems, easier to understand/modify/teach.","Open the field to ""normal"" people. Not those that are good at mentally playing computer (Bret Victor's quote)","I would like to see someone implement a better interface. My days are numbered, otherwise i would do it.",How come we don't learn about time and space when learning about computing. ,How should space be reflected in computing,How should time be reflected in computing,"Since such real basic questions above are unanswered, one must ask how come?","If we find answers to above (1-3), what would be the best interface to do what we now call programming.",0,0,TRUE,
30,"We use Python as the first programming language, and my colleagues complain about the ability of students to write indexed loops.",Our introductory programming courses for novices are taken on the computer. It can be challenging to convince my colleagues that doing so is a good idea. There is also a cost associated with the model.,Pure curiosity,0,0,"Discuss it with my colleagues, regardless of the result.",Use it to inform possible changes to our exam policies in introductory programming courses.,Read the results with great interest,0,0,Does being taught for-each loops (e.g. as in Python) as a first looping construct impair students' ability to write indexed loops (e.g. loops that manipulate indices)?,Do exams for novice programming students taken on the computer (e.g. involving writing and testing programs) more accurately measure student learning?,What computing concepts and skills can be effectively taught to young children (e.g. younger than 7 or 8)?,0,0,1,1,TRUE,
31,"I, and others, have a common belief, backed by little data, that some people ""just get it"" better or faster than others.  But I'm not sure how true that is, and the belief may provide a justification for various implicit unrecognized biases that harm certain people coming into CS.","My current belief is that drilling details (packet header fields, exactly how this protocol works, what the bits in the TLB all mean, etc.) is not worthwhile, as students won't retain much of it and it's too specific to be broadly useful even if they did.  I prefer to make sure the ""big ideas"" are learned, but I may be doing my students a disservice with that focus.",0,0,0,"If there is a predictor, then I could consider that when advising students interested in CS.  If there isn't, then I could correct my inaccurate and possibly harmful beliefs.",I'd either feel smugly content or improve my teaching!,0,0,0,Is there any way to predict how well someone will do in their first programming course if they've never programmed before?,"Is there value (I'm thinking of long-term retention and ability to apply knowledge a year or more after a course) in drilling specific details in high-level systems courses (networking, OS, DB, ...) as opposed to working primarily on high-level concepts, common problem and solution patterns, and other broadly-applicable knowledge.",0,0,0,2,2,TRUE,
32,"We want to establish a path for 5-12 students. Currently some MS kids learn in a makerspace, while some HS kids learn in a traditional classroom. ","using standard APCSA curriculum, OOP seems a big hurdle. i think it's simpler to learn objects first but others don't","i teach at a girls school and I have students who are fired up about CS now, but there are other challenges ahead (societal, expectations) that I want them to be ready to tackle.",0,0,"Possibly change the HS intro CS to be more open and experimental, possibly add a course with more rigor in the MS","possibly restructure the course, maybe change IDEs","Depends on the answer! Could start extracurricular or add to curriculum, bring in role models, conversations about what it looks like to be a woman in engineering.",0,0,"Comparing students whose first exposure to programming is in a ""makerspace"" unstructured environment to those who learn through lecture and projects: how is retention for each group (continuing with more advanced courses)? how is performance in later courses and college?",Most APCSA curricula teach static methods well before classes/OOP. Do students who learn OOP first have advantages/disadvantages in terms of how well they understand concepts?,what factors in 5-12 education are linked to success for women in CS in college and beyond,0,0,2,2,TRUE,
33,I currently use Code.org as an independent learning tool for grade 9-11 students with little to no programming experience. This introduction to programming using Code.org lasts for a week and then I transition to another language. I am wondering if this actually helps them. ,"Many students come with a lot of prior knowledge, while others have no experience. Some learn and master concepts faster than others. I would like to be more effective and don't want to lose students as concepts go over their heads. On the other hand I don't want students to get bored and feel they are not challenged.","To maintain this trend, especially for female students",Should we push for some changes since the last revision was in 2008?,"It use both methods of testing and students definitely complain about having to hand write code without being able to check syntax and run it to fix logic errors. I see value in both but I would say it is easier to copy code from the person beside you if they are typing it on a huge monitor. Also, when typing and testing, I find the test takes longer and students want to continue until the code works perfectly. If they hand write, they don't know if it works and can submit it earlier. ",Continue and possibly increase my use Code.org if it is effective.,I would likely rely less on the traditional lecture style lessons and more on assisting students with coursework. I would spend more time creating or acquiring diversified / leveled assignments and lessons that address the curriculum expectations.,Do what I can to support growth.,Lobby the government.,Change my testing method accordingly.,How effective are the Code.org courses for helping highschool students learn general programming skills?,What is the best way to engage a diverse group of learners when teaching CS?,What has caused the noticeable increase in the number of students taking CS and CE courses in the last few years?,Is the current Ontario CS curriculum meeting the needs of post secondary programs and employers?,"When testing students, is it better to have them write code on paper or create and test a functioning solution in an IDE?",2,2,TRUE,
34,"Metacognition is pretty cool, this question will force students to think/reflect about their experiences. They will either have a time/event where they felt like a ""programmer"" or we will learn that they don't identify as a programmer. I think this question is best asked at the end of a ~semester length project. ",0,0,0,0,I would tailor my teaching to promote self-identity as a programmer. ,0,0,0,0,When and/or what activity made you (the student) feel like/self identify as a programmer? ,0,0,0,0,2,2,TRUE,
35,I want to make sure that my choice of languages isn't causing students to be disinterested in pursuing coding more.,I have about a 20% female representation in my intro computer science classes this year.  Is that the norm or can I do better?,0,0,0,I would re-evaluate my choice of language used in the intro courses,I will implement new strategies in order to increase the female presence in these intro courses but I need to know what has shown to work.,0,0,0,Does the choice of programming language used to teach intro programming make a difference in their interest to pursue more coding courses?,Is a 50% female representatoin in intro computer science courses achieveable? ,0,0,0,2,2,TRUE,
36,"While programming is only a small portion to CS, in order to be successful in CS students need to know how to program. However, many current novel exercises focus on group work or involve languages that are not used in industry. Parson's Programming Puzzles are an example of a programming-driven exercise that helps with code writing, through its ability to teach ode tracing is still being researched. There is current research looking into teaching symbolic reasoning as a method of tracing. Additionally, the first issue students face in college-level courses are syntax errors. The current solution to learning syntax errors is to ""deal with them"" during traditional programming exercises. Instead, can there be exercises to teach syntax and CS concepts without problem solving?","If a student that is identified as ""low-performing"" continues to do the work of ""high-performing"" students, they will fall behind. I often describe each week of CS as ""building from last week""; thus, if a student struggled with exercises last week, why should they be given harder problems this week they will no doubt also struggle with? Instead, identified students can be given a defined path of what to do in order to recover.","More schools are beginning to offer a CS course for other majors, such as engineering. What are the skills that are considered ""unneeded"" (that is, not taught specifically) for non-majors? Could these skills be extracted from CS-major courses and moved into their own course?",0,0,"Obviously, I would include them into my classrooms",This would be beneficial for developing higher-level tutoring systems for CS,"I think this would provide some insight on the difference between CS and computer programming. As more students desire programming skills, creating more different courses adds additional strain to departments, limiting instructors as a resource. If the specific CS skills can be distilled, a general CS course can be developed that is required by all instead of the divided approach currently taken.",0,0,"Are there different types of programming-driven exercises students can complete to learn CS? If so, what are they?","Following the idea of Q1 involving novel programming-driven exercises, what is the optimal sequence for exercise delivery?",How does CS1 for majors and non-majors differ and why?,0,0,2,2,TRUE,
37,"I think that Most importantly, it may not be in codes, but in human skills that machines can not replicate, such as empathy and problem solving",I think it is more significant initially to learn logic and not logic and programming simultaneously.,0,0,0,I will apply in practice,I will apply in practice,0,0,0,Do children really need to learn how to program?,Should children learn logic - not programming?,0,0,0,2,2,TRUE,
38,"At my institution we are trying to decide how to teach Data Science to undergraduates (e.g., create courses, minors, etc) and we wonder if we have a foundational course in one language, how will students do in a follow-on course in another language. This is important as different disciplines culturally use different languages (e.g., R in Biology and Python in Earth and Ocean sciences). So we cannot avoid later year courses being in different languages, but we might decide to have one foundational course.","For our Master's of Data Science program we think it is important that students learn to install the programs they need, and manage their Path and environment. But this isn't very exciting stuff, nor is it easy/trivial. So when is the right time to teach it? Right away so they can get up and running on their own machines? Or introduce them to Data Science in the cloud first and then teach them to set things up on their own machines (or the cloud) later?","Similar to writing, if we know how experts do things efficiently, can we use this knowledge to teach better strategies to learners?",I want to eventually build a concept inventory for different levels of data science (as well as validate it).,0,Inform decisions about undergraduate curriculum design.,Potentially change when we teach these topics in our program.,"Add content to Data Science courses about ""how"" to code for data analysis.",A validated concept inventory would be a useful assessment tool to assess student learning performance.,0,"Once students learn to program for data science in one language (e.g., R) how much support do they need to transfer these skills to another language (e.g., Python)","When should students learn about the nitty gritty of installation, path and environment management?","How do ""experts"" code for data analysis (i.e., what strategies do they use)? People have asked a similar question of writing - how do experts write (an answer might be: start with an outline, then iterate over drafts, get peer review, etc)",What are the core concepts for a Masters of Data Science? For an Introductory Data Science course? How do these differ from a Masters in CS or an introductory CS course (respectively).,0,1,2,FALSE,
