ID,Category,Question,Includes
69,Student Understanding,What do we need to teach students so that they can transfer skills and understanding from one language to another?,294
70,Languages and Tools,What are the impacts of teaching specific languages on students’ understanding of Computer Science concepts?,
71,Languages and Tools,"How does the use of Unicode variable names (i.e., mathematical symbols) affect error rates in students’ programs?",
72,Inclusivity,How likely are students from underrepresented groups to ask a question in class compared to students from majority groups?,
73,Teacher Development,How can teachers be trained or recruited in order to be inspirational and effective?,
74,Curriculum,How useful is it for students to learn about older computing technologies?,
76,Pipeline,What is the impact of students’ literacy skills on their success in programming (both in school and beyond)?,
77,Student Understanding,What fundamental programming concepts are the most challenging for students?,193; 237
78,Pipeline,What impact does early exposure to security topics and tools have on student retention and/or comprehension in Computer Science programs?,
80,Pedagogy (General),(How) does the best teaching method or language depend on the learner’s personality or other characteristics?,
81,Pedagogy (Computing),How can we teach students how to deconstruct programming problems?,
82,Curriculum,To what extent should lessons and practices from industry influence the way we teach programming?,
83,Curriculum,What computing skills or knowledge are the best predictors of student success?,
84,Student Understanding,(How) can we help technically-oriented students value human-centered aspects of computing?,
88,Assessment and Predictors,What impact does learning to program have on students’ competence in mathematics?,367
89,Languages and Tools,What languages are most effective for teaching children?,
90,Curriculum,What resources can computing teachers use that are not language specific?,
91,Student Behavior,"What benefits do social aspects of classes (e.g., collaboration) have on novice programmers?",
92,Inclusivity,"How effective are combination programs (e.g., math + CS) at attracting students from underrepresented groups?",
93,Pedagogy (Computing),"What is the impact of teaching computing concepts “unplugged” (i.e., without programming) alongside teaching programming?",
95,Student Understanding,What do people find most difficult when breaking problems down into smaller tasks while programming?,
98,Pedagogy (General),"How does the effectiveness of short, condensed courses compare to that of longer, less intensive courses?",362
99,Inclusivity,What role does family background play in students’ decisions to take (or not take) computing classes?,
100,Pedagogy (General),What are the relative merits of teaching top down (high-level concepts first) vs bottom up (concrete operations first)?,375
101,Assessment and Predictors,Is it possible to predict how well someone will do in their first programming course if they have never programmed before?,121; 278
103,Pedagogy (General),What are the relative merits of teaching computing concepts breadth first vs depth first?,
104,Student Behavior,Does planning a program using pseudocode or flowcharts before starting to code improve students’ outcomes?,215; 219
105,Assessment and Predictors,What types of pre-classroom preparation are most effective at getting students ready to learn Computer Science?,
106,Pipeline,What impact does taking a computing course in primary/secondary school have on students’ decisions to take or not take computing at college or university?,
107,Inclusivity,What are the best teaching strategies to use in computing classes for students with physical disabilities?,
108,Languages and Tools,Are game-based tools like Unity and GameMaker effective for developing programming skills after block-based tools like Scratch but before text-based tools like Python?,
112,Pedagogy (Computing),What are best practices for instruction in a computer lab?,
113,Curriculum,What is the minimum amount of time that needs to be devoted to introducing non-Computer Science students to programming in order for it to be useful?,
115,Curriculum,What are the relative merits of teaching object-oriented programming first vs teaching imperative programming first?,
116,Student Behavior,What events or activities first make students self-identify as programmers?,
117,Languages and Tools,What are the relative merits of sticking to one programming language when teaching children vs using two or more languages?,
118,Pipeline,What are the most useful things high school teachers can do to help students succeed in computing careers (both in academia and industry)?,
122,Pedagogy (Computing),What kinds of programming exercises are most effective when teaching students Computer Science?,
123,Pedagogy (General),What practices are most effective when teaching programming in very large classes (hundreds of students)?,
124,Assessment and Predictors,How can an instructor tell whether students are actually reflecting on their work?,
125,Pedagogy (General),"To what extent, and how, should self-directed learning be used to complement in-person teaching in computing?",
126,Pedagogy (General),What teaching methods or curriculum are most effective at persuading students in other disciplines to incorporate programming into their work?,
127,Pipeline,What knowledge and skills are new graduates of computing programs most often missing that they need?,
128,Languages and Tools,What languages or tools are most effective for introducing object-oriented programming?,
129,Pedagogy (Computing),What computing concepts and skills can young children (up to 7/8) actually learn?,
130,Assessment and Predictors,What are the most effective ways to monitor and track students’ work in computing classes?,
131,Student Behavior,Why do so few students take computing classes in high school?,
132,Pedagogy (Computing),What are effective methods for teaching students to develop algorithms prior to beginning coding?,
134,Teacher Development,What types of training for TAs are most effective?,361
135,Languages and Tools,"How easily can students transition from the 2D model of turtle graphics used in Scratch, Logo, and similar systems to thinking in 3D?",
136,Assessment and Predictors,How well does someone’s “grit” predict how well they will do in their first programming course if they have never programmed before?,
137,Inclusivity,What can teachers do to improve participation by underrepresented groups in computing?,214; 265; 350
138,Student Behavior,What steps are most likely to reduce drop rates in online computing courses?,
139,Languages and Tools,What impact does learning block-based tools like Scratch have on subsequently learning text-based tools like Python?,181; 208; 348
141,Languages and Tools,How easily can students switch between different programming languages while learning?,
142,Pedagogy (Computing),What teaching practices are most effective for teaching computing to children?,285
143,Student Behavior,"What factors most influence drop rates in introductory computing classes and (how) do these factors vary according to student demographics (age, gender, orientation, etc.)",
144,Student Understanding,Why do some students believe that software development is solely a matter of programming?,
146,Inclusivity,"What is the relationship between student demographics (age, gender, orientation, etc.) and their understanding of fundamental computing concepts?",
147,Pipeline,What do students learn in college or university computing programs that they consider most valuable two years after graduation?,
148,Curriculum,How important is it for students to have a general understanding of how computers work before learning programming concepts?,388
150,Pedagogy (Computing),How can we improve computational thinking skills in high school students?,
151,Curriculum,What is the effect of work load and pacing on motivation and retention in introductory computing courses?,
152,Student Behavior,"When and why do students ask for help in labs, and are such questions a sign that things are going well or not?",
153,Teacher Development,How is “good quality software” defined for computing teachers and how does this compare to the way that professionals define it?,
154,Pedagogy (General),"(How) do student demographics (age, gender, orientation, etc.) determine the effectiveness of different teaching methods?",
155,Pedagogy (Computing),To what extent is learning to program like learning to speak a language?,
156,Pipeline,How well can students who have gone through Computer Science programs adapt to changing market needs?,
157,Curriculum,Should databases be taught at the high school level?,
159,Pedagogy (Computing),What content and teaching methods are most effective at helping students learn how to design software?,247
160,Languages and Tools,(How) do online/automated grading systems for programming affect learning outcomes?,48; 160; 220; 252; 373
162,Pedagogy (Computing),How effective are pair programming and peer review in introductory computing courses?,
163,Curriculum,Should students learn Unix commands and basic shell scripting before or after learning a more general purpose programming language?,
164,Pipeline,Why do students enrol in computing programs?,
165,Pedagogy (Computing),What is the most effective way to introduce the notion of a variable in computing classes?,
166,Pipeline,What language is it most useful for a college- or university-bound student to learn?,
168,Student Understanding,"(How) can we convince students that documentation is important, particularly when they may not continue in computing?",
171,Student Behavior,(How) can teachers convince students who believe they “just don’t get” computing that they can do it?,
172,Assessment and Predictors,"How well does participation in non-programming activities (course attendance, reading, discussion) predict outcomes in programming courses?",
173,Assessment and Predictors,How do differences in the way instructors understand software development projects affect the way students learn good software development practices?,
174,Pedagogy (Computing),What are the relative merits of teaching the mechanics of specific systems vs teaching high-level principles in higher-level topics such as databases and networks?,
175,Assessment and Predictors,How well do standardized secondary school examinations predict how students will do in their first college- or university-level programming course?,
176,Teacher Development,How effective is it to retrain high school teachers from other disciplines to teach computing?,
177,Student Behavior,What online resources do learners most frequently consult when learning to program?,
178,Student Understanding,What are the differences between the way experts program and the way students program?,
179,Teacher Development,"What are effective methods for “training the trainers”, i.e., for teaching people how to teach others to teach computing?",
180,Assessment and Predictors,What relationship is there between student performance in computing and student performance in other subjects?,
182,Assessment and Predictors,What effect does teaching students computing and computational thinking in primary school have on their performance in high school?,
183,Languages and Tools,What impact does choice of teaching language have on how much students learn about fundamental computing concepts?,
184,Awareness and Broader Impact,Is it important for students to learn programming and digital technologies?,
185,Languages and Tools,What is the best language to use when teaching introductory programming courses?,236; 305; 346
186,Student Behavior,How does a sense of self-efficacy influence students’ success outside of their courses?,
187,Student Understanding,What impact does teaching introductory courses using only data analysis/machine learning examples have on student understanding?,
188,Awareness and Broader Impact,What programming experiences do people most often have before attending their first programming workshop?,
190,Pipeline,What impact (if any) does the language learned in secondary school have on students’ conceptual understanding of computing at college or university?,
191,Curriculum,What are the relative merits of teaching children logic vs teaching them programming?,
192,Student Behavior,Why do students take Computer Science classes at college or university?,
195,Pipeline,How many students are retained in each level of a typical college or university computing program?,
196,Student Behavior,"What features of classes, students, or pedagogy most affect attendance, engagement, and performance?",
198,Curriculum,"What is the best order in which to introduce control flow (e.g., loops) and functions?",
199,Pedagogy (General),What are the merits (if any) of using large projects in class when teaching computing?,
200,Curriculum,What are the most important things that students finishing college or university computing programs still don’t understand?,376
201,Pipeline,What topics in computing are going to be more important for students to learn in the near future?,
204,Curriculum,What is the best order in which to teach basic computing concepts and skills?,309
206,Student Understanding,What incorrect mental models do students bring to their first computing courses?,
207,Pedagogy (General),Does growth mindset instruction alter outcomes in computing courses?,
209,Teacher Development,(How) can teachers avoid burnout in the face of rising enrolments without compromising quality of instruction?,
210,Student Understanding,Does learning programming involve mental barriers that do not exist in other subjects?,
211,Curriculum,How do colleges/universities justify their choice of their introductory programming language?,
213,Teacher Development,Why do some teachers believe that some students “get it” and some don’t when it comes to programming?,
216,Pedagogy (General),What teaching strategies are most effective when dealing with a wide range of prior experience in introductory programming classes?,330
217,Assessment and Predictors,"What is the relationship between student demographics (age, gender, orientation, etc.) and prior experience and their success in introductory college or university computing classes?",
221,Languages and Tools,What is the best hardware (such as programmable boards and robots) to use for introductory computing classes?,
222,Pipeline,What is the best age (if any) at which to start teaching children a text-based programming language?,194
223,Pipeline,What should I tell students who have impostor syndrome or self-doubt after hearing companies say that they only want the best of the best?,
224,Assessment and Predictors,Do exams taken on a computer measure learning more accurately than written exams?,250; 255
225,Student Behavior,Do students’ attitudes toward making mistakes predict how much they will enjoy computing courses and/or how well they will do in them?,
226,Student Understanding,Is there such a thing as “computational thinking”?,
227,Student Behavior,"How can we motivate students in computing classes to attend class, do assigned readings, and participate in exercises?",21; 85; 232
228,Assessment and Predictors,To what extent is being technically proficient in using a computer helpful to learning Computer Science?,
229,Inclusivity,How do students with hearing disabilities learn computing?,
230,Pedagogy (General),What methods for teaching problem solving skills are most effective for different age groups?,
233,Assessment and Predictors,Is it possible to predict how well someone will do as a computing professional before they enrol in a college or university computing program?,
235,Pedagogy (General),How do students respond to open-ended exercises in programming courses?,
238,Awareness and Broader Impact,"Will programming ever be regarded as being as important to learn as reading, writing, or arithmetic?",
239,Pipeline,What knowledge and skills are new entrants into computing programs most often missing that they need?,289; 369
240,Awareness and Broader Impact,Can we/should we integrate computing or computational thinking into the entire high school curriculum?,
242,Pedagogy (Computing),What are the most effective ways to teach people how to program?,
243,Inclusivity,Do early outreach activities influence girls’ decision to enter computing?,
245,Languages and Tools,What effect (if any) does choice of first language have on the degree to which students can transfer understanding to programming in other languages?,
246,Languages and Tools,What is the most effective way to move students from block-based programming to text-based programming?,
248,Teacher Development,What are the most important things for teachers to know about computing education research in order to collaborate effectively with researchers?,
251,Languages and Tools,How do teachers and schools select the programming languages they teach?,
253,Curriculum,What are the benefits (if any) of teaching computing concepts across various subjects rather than concentrating them in a dedicated computing course?,333
256,Assessment and Predictors,Are students who are required to write detailed documentation for code better able to reason about it?,
257,Pedagogy (Computing),Is learning computing fundamentally different in any way from learning other subjects?,
258,Inclusivity,Is proportional representation of women and other groups currently underrepresented in computing achievable?,
260,Pipeline,To what extent if any are (potential) students confused by the number of options available to them for learning computing?,
261,Pedagogy (Computing),Is explicit discussion of abstract concepts such as patterns or debugging helpful when teaching novices to program?,
262,Pedagogy (Computing),How effective are online courses in teaching general programming skills to high school students?,
263,Inclusivity,What are the best ways to teach fundamental programming concepts and skills to learners coming from low tech/low computer literacy backgrounds?,
268,Pedagogy (Computing),Are recursive functions best taught and understood using proof rules (such as induction) or hand simulation?,
269,Curriculum,How does being taught for-each loops first affect a student's ability to later learn to write indexed loops?,
270,Assessment and Predictors,(How) can we predict which of the skills we teach students they will then go on to use?,vague
271,Curriculum,"Should topics such as databases, networking, and operating systems be taught in specialized courses, or should that content be merged into more wide-ranging courses?",
272,Inclusivity,What can schools and teachers do to increase the chances of success for students in their first college or university computing course?,
273,Pedagogy (General),How much do students learn from lectures vs how much do they learn from practical work such as programming assignments?,
274,Pedagogy (Computing),(How) does the best way to teach programming depend on the language being used?,
275,Awareness and Broader Impact,Is there a best age at which to start learning how to program?,
276,Pedagogy (General),What is the best balance between lectures and lab work?,
277,Curriculum,What content from general introductory computing courses is most relevant to students taking more advanced courses in topics such as networking and computer architecture?,
279,Awareness and Broader Impact,How important do students who are not already in computing programs believe it is to learn a programming language?,
280,Languages and Tools,Is it possible to design programming languages that are significantly easier to learn than the ones in use today?,
282,Pipeline,What do colleges/universities look for in students applying to enter computing programs?,
283,Pedagogy (Computing),To what extent does frequent help from instructors and TAs help students who are struggling to master material in computing courses?,
286,Curriculum,How important is it to teach compiled programming languages?,
288,Pipeline,How can we best involve students in computing education research?,
291,Languages and Tools,What are the best ways to make documentation about libraries and APIs accessible to students?,
292,Languages and Tools,What are the relative merits of using computational notebooks (like Jupyter) vs teaching the same languages and content using traditional text formats?,332
295,Pipeline,How can we help students connect what they have learned in class with what they encounter in the workplace?,
296,Awareness and Broader Impact,Are different regions taking different approaches to computing education?,
297,Awareness and Broader Impact,What factors have led to the increase in the number of students taking computing courses in the past few years?,
299,Teacher Development,How can we better connect subject matter experts who lack teaching expertise with experts in teaching who lack in-depth computing knowledge?,
300,Pedagogy (Computing),What are the most effective ways to scale computing education to reach the general student population?,
301,Pedagogy (Computing),What is the most effective way to teach algorithms in computing courses?,
302,Assessment and Predictors,What are the benefits (if any) of having a mathematics prerequisite to an introductory computing course?,
303,Pedagogy (Computing),What are the best ways to teach programming to people with no previous programming experience?,
304,Curriculum,"When should students learn how to install software, manage paths and environments, etc.?",
306,Pedagogy (Computing),What is the most effective way to teach students how to test software?,
307,Curriculum,"How do teaching approaches differ between Computer Science, Information Technology, and related disciplines?",
310,Languages and Tools,What is the best balance between using modern software development tools and overloading students?,
311,Assessment and Predictors,What factors in primary/secondary education best predict success for students in college or university computing and beyond?,38; 231; 337; 368
312,Languages and Tools,How effective are game development tools like Unity for teaching computing vs conventional languages like Python?,145; 363
313,Teacher Development,"What factors inspire high school Computer Science teachers, increase their confidence, and lower attrition rates?",
314,Curriculum,What concepts are taught in college or university computing programs?,
316,Inclusivity,Has the uptake of for-profit STEM-oriented daycare and camps by middle-class families affected access to computing programs for students from less affluent backgrounds?,
317,Teacher Development,What is the single most effective change Computer Science departments could make to their teaching practices?,
318,Pedagogy (Computing),Do data diagrams help students understand language features and code execution?,
319,Student Understanding,How often do students have “ah ha” moments in computing courses in which things suddenly start to make sense?,
321,Pedagogy (General),How can we help students become comfortable with failure in computing courses?,
322,Awareness and Broader Impact,What factors have led to differences in the implementation of computing in secondary education in different regions?,
324,Pedagogy (Computing),What is the best way to use extended programming tasks in large computing courses?,
325,Awareness and Broader Impact,What do high school students think Computer Science is?,
326,Pedagogy (Computing),What are the most effective ways to teach data structures?,
327,Languages and Tools,Do tools like Alice help students understand object-oriented programming concepts in CS2?,
328,Pedagogy (General),"Can some teaching practices make a difference to students’ ability to write programs, or is learning to program primarily a matter of practice?",
329,Student Understanding,To what degree are students able to attain higher levels of understanding (as per Bloom’s Taxonomy) in computing programs?,
331,Pedagogy (Computing),What teaching methods best help students remember the syntax of programming languages?,
336,Inclusivity,"Is programming ability an intrinsic attribute, or can anyone become proficient at programming?",389
338,Languages and Tools,What are the best tools to use when teaching people how to program on smart phones?,
339,Teacher Development,How can we recruit more external (industry) partners to collaborate on classroom programming projects?,
340,Teacher Development,How can teachers stay up to date with changes to technology and programming practices?,22; 366
341,Student Understanding,What topics in computing are most difficult for high school students to grasp?,
342,Pipeline,Is it more beneficial for new graduates of computing programs to have strong individual skills or strong team skills?,
349,Pedagogy (Computing),When and how is it best to present advanced computing techniques to students who are new to programming?,
351,Pedagogy (Computing),How and when is it best to give students feedback on their code to improve learning?,
352,Pipeline,To what extent do people continue to program after moving into management positions?,
354,Student Understanding,Which student misconceptions about computing are most difficult to correct?,
355,Pedagogy (Computing),What are best practices for using computers in computing classes?,
356,Pipeline,What topics or skills can be taught to primary/secondary students to best prepare them to learn or appreciate computing at college or university?,393
357,Pedagogy (General),"What are the relative merits of project-based learning, lecturing, and active learning for students learning computing?",189; 334
358,Pedagogy (Computing),What are the relative benefits of live coding vs presentations or guided exercises?,
359,Student Behavior,What are the most effective ways to keep diverse groups of students engaged when teaching computing?,8; 39; 308
360,Student Understanding,What misconceptions do students have about operating systems?,
364,Curriculum,What is the best balance between theory and hands-on practice in a computing program?,96; 202; 205; 287; 298
365,Awareness and Broader Impact,Do students have an accurate understanding of the time and effort required to learn programming?,
370,Curriculum,What is the most effective way to teach digital technologies in high schools without diluting content?,
371,Inclusivity,Do female students learn computing more effectively in all-female classes?,
372,Pedagogy (Computing),What is the most effective way to teach control structures such as loops to students who are not computing majors?,
374,Languages and Tools,What are the relative benefits of provisioning a computing environment for students vs requiring them to manage installation issues themselves?,
377,Teacher Development,What technical difficulties do teachers trying to use new tools or applications encounter?,
378,Pedagogy (Computing),Can student learning be enhanced by explicit lessons on how to use Stack Overflow and similar online forums?,
379,Student Understanding,At what developmental stage can people first effectively use “variable” as an abstraction?,
380,Pedagogy (Computing),What are the characteristics of good homework assignments in computing classes?,
381,Curriculum,What are the most effective ways for teachers to keep course materials up to date?,
382,Student Behavior,To what extent are “free riders” actually a problem in group computing projects?,
383,Pipeline,To what degree do different fields of graduate student require or rely on computing skills?,
384,Pedagogy (Computing),Does explicit reference to a programming language the student already knows help or hinder learning a second language?,
385,Curriculum,What is the best way to integrate data management practices into a computing curriculum?,
386,Pipeline,What can be done in high schools to close the gap between the supply of programmers and the demand for them?,
387,Languages and Tools,"If students have multiple courses using the same language, do they benefit more from using the same tools or from using a variety of tools?",
390,Languages and Tools,What are the relative benefits of giving students standard hardware vs having them bring their own devices?,
391,Assessment and Predictors,To what extent (if any) does the choice of first programming language affect students’ interest in pursuing more programming courses?,
392,Pipeline,How do the long-term career prospects for participants in coding bootcamps compare to those of students taking part in traditional classroom computing programs?,
394,Student Behavior,What can be done in class to motivate students to use good software engineering practices on larger projects?,
396,Student Understanding,"Is ""expression"" a threshold concept?",
397,Student Understanding,What affects students’ ability to generalize from simple programming examples?,
398,Inclusivity,"To what extent (if any) does the impact of using block-based programming in introductory courses vary according to student demographics (age, gender, orientation, etc.)?",
399,Pedagogy (Computing),How do learning outcomes differ when students use their own code and/or data in programming classes vs using code and/or data provided by the instructor?,
400,Awareness and Broader Impact,What can teachers do to ensure adequate funding for computing classes?,
