ID,ParticipantID,QuestionID,Category (BB),Category (MC),Category (GW),Category (PD),Categories,UnifiedQuestion,RawQuestion,Why,What,
64,118,2,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Curriculum, Pedagogy,(How) should computing classes for students in data science or other STEM disciplines differ from those for students in a computer science program?,What is the best approach to teaching an audience of different scientific disciplines and/or methods?,"Many workshops will include very diverse scientists in the room, and I need to make workshops that are meaningful to them all. Currently, my approach is to only teach things that do apply across disciplines, but this means not covering very important discipline specific topics.",Apply the best approach to teaching a diverse room in the upcoming workshops.
65,30,2,Poor Question,Poor Question,Poor Question,Curriculum,DISCARD,DISCARD,How should space be reflected in computing,It's just something i have been trying to understand myself for 30 odd years,Build systems that are not so abstract and easier to understand,
66,28,4,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity, Pedagogy,What are the most effective ways to teach introductory computing to students without prior programming knowledge?,What are best practices for making CS1 accessible to students without prior CS knowledge?,I teach CS1,Incorporate those best practices into my teaching
67,3,4,Pedagogy,Assessment,Curriculum,Pedagogy,Pedagogy,(How) do formal curricular goals support the development of programming skills and computational thinking in students?,How do progress outcomes support students to develop better computer programs and computational thinking.,"With the changes that are taking place in New Zealand, do the progress outcomes that have been developed support the computational thinking aspects of the new curriculum, and would something like this support new digital technologies curriculums overseas. What are the positives and negatives and how are teaching using these to provide students their next steps in teaching and learning. ",Thought it would make a good research question to see the effectiveness of how reporting could change.,
68,3,2,Engagement,Engagement,Student Behavior,Student Behavior,Engagement,What kinds of problems do students in programming classes find most engaging?,"When developing computer programming problems, is it the skills or the authentic problem solving that students engage with?","When developing questions and problems for students, it is just getting to know the concepts themselves, or does authentic contexts that get students engaged?",When developing problems it is better to know which type of problems that we should be developing for students.,
69,76,5,Professional Development,Professional Development,Curriculum,Broader Social Context,Student Understanding,What do we need to teach students so that they can transfer skills and understanding from one language to another?,What do we need to teach researcher so they can move from one programming language to another?,Because it looks like researchers are stuck we what they have learnt. They are usually unable to move and learn quickly another programming language. So it means what we teach is not good enough. ,Teach what needs to be taught to make researchers more independent from the programming language they have learnt.,
70,41,3,Languages and Tools,Curriculum,Languages and Tools,Assessment,Languages and Tools,What are the impacts of teaching specific languages on students’ understanding of computer science concepts?,Does learning Python hamper understanding of other computer science concepts.,"Many compiled languages have passing arguments by ref or by val, python doesn't. There is little difference between a function and a procedure, and the fact that any subroutine can return multiple values. etc.",Decide whether to continue using Python or use a more traditional programming languatge.,
71,44,5,Pedagogy,Languages and Tools,Pedagogy,Assessment,Languages and Tools,"How does the use of Unicode variable names (i.e., mathematical symbols) affect error rates in students’ programs?","Does using unicode variable names lead to fewer errors when the problem is stated using, eg Greek or Cyrillic notation?","I explicitly tell my students not to use unicode variable names (when teaching Python). I say this is for backwards compatibility, and for compatibility with other programming languages. However, many of the problems given are STEM modelling problems with parameters or variables that can easily be expressed in unicode, but badly expressed in ""standard"" Latin (eg lambda vs the keyword, mu vs nu, but problems with sum vs Sigma, ...). Generally I am concerned that routinely using unicode variable names will lead to a different set of errors and misconceptions.","Either be more honest with students as to why I recommend against unicode variables (""they're a source of errors), or stop worrying about backwards-compatibility issues and embrace the future...",
72,116,2,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,How likely are students from underrepresented groups to ask a question in class compared to students from majority groups?,"How likely are minority students to ask a question in class compared to the majority group in early CS classes ? How does class participation correlate with self-efficacy, and are there disparities based on gender? ","I have observed this phenomenon occur in my class, and would like to know whether or not it is a systemic problem in CS1/CS2 classes?",I will talk to my class about the results from the research to bring more awareness about the issue,
73,68,2,Professional Development,Professional Development,Professional Development,Professional Development,Teacher Development,How can teachers be trained or recruited in order to be inspirational and effective?,"Isolated professional development sessions for can be inspirational when done well, but are not at all adequate training for teachers to properly delivery a dynamic curriculum, where having a mastery of the material beyond the students allows them meet a variety of students needs.  How can teachers be properly trained or recruited in order to be inspirational and effective teachers of the discipline?","We need to have the best resources in place first if we hope to draw more students to the subject, or to handle an influx of students due to curriculum reform.","Inform my own practice, but also help me to mentor others who are looking to teach at the high school or elementary level.",
74,89,2,Curriculum,Curriculum,Curriculum,Curriculum,Curriculum,How useful is it for students to learn about older computing technologies?,IS learning about older technologies useful,"Technology is rapidly changing, does learning about technology that came prior to the current make any difference to understanding modern technologies",unsure,
75,37,2,Poor Question,Curriculum,Poor Question,Curriculum,DISCARD,DISCARD,"Following the idea of Q1 involving novel programming-driven exercises, what is the optimal sequence for exercise delivery?","If a student that is identified as ""low-performing"" continues to do the work of ""high-performing"" students, they will fall behind. I often describe each week of CS as ""building from last week""; thus, if a student struggled with exercises last week, why should they be given harder problems this week they will no doubt also struggle with? Instead, identified students can be given a defined path of what to do in order to recover.",This would be beneficial for developing higher-level tutoring systems for CS,
76,6,3,Predictors,Predictors,Predictors,Predictors,Pipeline,What is the impact of students’ literacy skills on their success in programming (both in school and beyond)?,"Do students need good literacy skills to be able to have success at programming? (at school, uni and beyond)",To know if students who have dyslexia or similar still have the potential to be great programmers / developers ,Inform careers team at school and deans.,
77,24,2,Mental Models,Curriculum,Mental Models,Mental Models,Student Understanding,What fundamental programming concepts are the most challenging for students?,What fundamental programming concepts are the most challenging to students?,I am not sure which concepts are more challenging to introductory students.,I will provide more learning content pertaining to the most challenging concepts.,
